Vendor,Product #,Utility / Operations Workflow,Data / Content,Analysis / Insight,Technology / Architecture,Buyside,Sellside,Issuer/Advisors,"Market Share/""Size""",Quality/Age
Bloomberg,7,5,4,4,2,TRUE,TRUE,TRUE,,
ICE,7,3,4,5,2,TRUE,FALSE,FALSE,,
S&P - Ipreo,6,5,4,1,1,TRUE,TRUE,TRUE,,
LSEG / Refinitiv,5,0,5,2,0,TRUE,TRUE,TRUE,,
Investortools,4,5,1,3,0,TRUE,FALSE,FALSE,,
S&P - IHSM,3,0,2,2,0,TRUE,FALSE,FALSE,,
Solve,3,2,0,2,1,TRUE,TRUE,TRUE,,
AGA,2,1,1,2,0,TRUE,FALSE,FALSE,,
MuniOS,2,1,4,0,0,TRUE,TRUE,TRUE,,
TrueMarket,2,2,0,2,3,TRUE,FALSE,FALSE,,
Adaje,1,2,2,2,0,FALSE,TRUE,TRUE,,
Algomi Alpha,1,3,0,3,0,TRUE,FALSE,FALSE,,
AlphaLedger,1,3,0,1,4,TRUE,FALSE,TRUE,,
Aladdin,1,2,0,1,0,TRUE,FALSE,FALSE,,
Bond Wave,1,2,3,3,2,TRUE,FALSE,FALSE,,
BondLink,1,1,1,2,0,TRUE,FALSE,TRUE,,
Charles River,1,3,0,2,0,TRUE,FALSE,FALSE,,
Clarity,1,3,0,1,1,TRUE,TRUE,TRUE,,
Deal Roadshow,1,1,1,1,0,TRUE,TRUE,TRUE,,
DPC Data,1,0,3,3,2,TRUE,TRUE,TRUE,,
DTCC,1,5,3,0,0,TRUE,TRUE,TRUE,,
Econoday,1,0,3,1,0,TRUE,TRUE,TRUE,,
Elabra,1,2,0,0,0,FALSE,FALSE,TRUE,,
Firva,1,1,2,3,0,TRUE,FALSE,FALSE,,
MuniAuction,1,2,0,0,0,FALSE,TRUE,TRUE,,
HIP,1,0,2,2,0,TRUE,FALSE,FALSE,,
Iris,1,2,0,1,0,FALSE,TRUE,FALSE,,
IMTC,1,3,0,1,1,TRUE,FALSE,FALSE,,
Deal Room,1,1,0,1,0,FALSE,TRUE,TRUE,,
Kestrel,1,0,2,1,0,TRUE,TRUE,TRUE,,
MarketAxess,1,2,2,1,3,TRUE,TRUE,FALSE,,
MMA,1,0,2,4,0,TRUE,TRUE,TRUE,,
Morningstar,1,0,2,2,0,TRUE,TRUE,TRUE,,
EMMA,1,0,4,1,0,TRUE,TRUE,TRUE,,
MuniChain,1,1,0,0,1,FALSE,TRUE,TRUE,,
MuniHub,1,1,1,0,0,TRUE,FALSE,FALSE,,
MuniPro,1,1,1,1,0,TRUE,TRUE,TRUE,,
Napa,1,2,0,1,0,FALSE,TRUE,FALSE,,
NetRoadshow,1,2,1,1,0,TRUE,TRUE,TRUE,,
RiskGrid,1,1,0,3,1,TRUE,FALSE,FALSE,,
Spline,1,0,1,3,4,TRUE,TRUE,TRUE,,
DBC,1,5,0,2,0,FALSE,TRUE,FALSE,,
Symphony,1,1,0,1,1,TRUE,TRUE,FALSE,,
TradeWeb,1,3,3,2,4,TRUE,TRUE,FALSE,,
Zia,1,2,0,1,0,FALSE,TRUE,FALSE,,
MuniBonds.io,1,1,2,1,4,TRUE,FALSE,FALSE,,
Terrapin Finance,1,1,1,1,4,TRUE,FALSE,FALSE,,
Bondview,1,0,0,2,0,TRUE,FALSE,FALSE,,
Moment,1,2,1,2,4,TRUE,FALSE,FALSE,,
Muni Data Network,1,0,1,2,0,FALSE,TRUE,FALSE,,
